               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.045704,            0.014363,            0.019612,             0.63973,             0.55094,             0.58994,             0.29118,            0.044331,           0.0085992,            0.020029,            0.008317,            0.008317,            0.008317
                  70,              0.0456,            0.014418,            0.019602,             0.63741,              0.5545,             0.59028,             0.29106,             0.04433,           0.0085982,            0.020031,           0.0082922,           0.0082922,           0.0082922
                  71,            0.045315,            0.014164,            0.019585,             0.63652,             0.55374,             0.58983,             0.29129,            0.044332,           0.0085973,            0.020034,           0.0082675,           0.0082675,           0.0082675
                  72,            0.045294,            0.014287,             0.01971,             0.63923,              0.5541,             0.59044,             0.29169,            0.044328,           0.0085949,            0.020033,           0.0082428,           0.0082428,           0.0082428
                  73,            0.045132,            0.014264,            0.019624,             0.64239,             0.55257,              0.5907,             0.29165,            0.044324,           0.0085917,            0.020037,            0.008218,            0.008218,            0.008218
                  74,            0.045307,            0.014324,            0.019584,             0.63907,             0.55317,             0.59106,             0.29202,             0.04432,           0.0085895,             0.02004,           0.0081932,           0.0081932,           0.0081932
                  75,            0.045175,            0.014227,            0.019651,             0.64137,             0.55088,             0.59064,             0.29248,            0.044319,           0.0085864,            0.020046,           0.0081685,           0.0081685,           0.0081685
                  76,            0.045171,            0.014174,            0.019551,              0.6415,             0.55044,             0.59094,             0.29271,            0.044319,            0.008584,            0.020048,           0.0081437,           0.0081437,           0.0081437
                  77,            0.045142,            0.014087,            0.019556,             0.64133,             0.54901,              0.5906,             0.29319,            0.044319,           0.0085797,            0.020052,            0.008119,            0.008119,            0.008119
                  78,            0.044572,            0.014121,            0.019517,             0.64149,             0.54928,              0.5911,             0.29319,             0.04432,           0.0085783,            0.020057,           0.0080942,           0.0080942,           0.0080942
                  79,            0.044633,            0.014157,            0.019434,             0.64649,              0.5444,             0.59077,             0.29319,            0.044321,           0.0085774,            0.020061,           0.0080695,           0.0080695,           0.0080695
                  80,            0.044654,            0.014104,            0.019496,             0.64344,             0.54584,             0.59054,             0.29286,            0.044325,           0.0085759,            0.020063,           0.0080447,           0.0080447,           0.0080447
                  81,            0.044442,            0.014074,            0.019449,             0.64262,             0.54688,             0.59065,             0.29303,            0.044326,           0.0085742,            0.020065,             0.00802,             0.00802,             0.00802
                  82,            0.044691,            0.014062,            0.019481,             0.64145,             0.54956,             0.59081,             0.29315,            0.044327,           0.0085714,            0.020066,           0.0079953,           0.0079953,           0.0079953
                  83,            0.044443,            0.013998,            0.019298,             0.64253,             0.55042,             0.59114,             0.29298,             0.04433,           0.0085697,             0.02007,           0.0079705,           0.0079705,           0.0079705
                  84,            0.044702,            0.014092,            0.019263,             0.64463,             0.54864,             0.59052,             0.29311,            0.044339,           0.0085685,            0.020072,           0.0079457,           0.0079457,           0.0079457
                  85,            0.044503,            0.013948,            0.019437,             0.65095,             0.54424,             0.59121,             0.29307,            0.044334,            0.008568,            0.020075,            0.007921,            0.007921,            0.007921
                  86,             0.04427,            0.014019,            0.019424,             0.64853,             0.54786,             0.59172,             0.29303,            0.044338,           0.0085678,            0.020079,           0.0078963,           0.0078963,           0.0078963
                  87,            0.044249,            0.014042,            0.019248,             0.65008,              0.5451,             0.59158,             0.29313,            0.044338,           0.0085657,            0.020085,           0.0078715,           0.0078715,           0.0078715
                  88,            0.043924,            0.014012,            0.019199,              0.6523,             0.54458,             0.59218,             0.29349,            0.044334,           0.0085632,            0.020088,           0.0078467,           0.0078467,           0.0078467
                  89,            0.044333,            0.013867,            0.019174,             0.65003,             0.54642,              0.5923,             0.29358,            0.044337,           0.0085619,            0.020094,            0.007822,            0.007822,            0.007822
                  90,            0.043937,            0.013923,            0.019119,             0.64509,             0.54985,             0.59272,             0.29375,            0.044338,           0.0085605,            0.020102,           0.0077973,           0.0077973,           0.0077973
                  91,            0.043832,            0.014113,            0.019198,             0.64503,             0.54999,             0.59282,             0.29387,             0.04435,           0.0085589,             0.02011,           0.0077725,           0.0077725,           0.0077725
                  92,            0.044137,            0.013928,            0.019241,             0.64163,             0.55398,             0.59336,             0.29381,             0.04436,           0.0085578,             0.02012,           0.0077478,           0.0077478,           0.0077478
                  93,            0.043911,            0.013875,             0.01918,             0.64184,             0.55456,             0.59298,             0.29363,            0.044371,           0.0085573,            0.020126,            0.007723,            0.007723,            0.007723
                  94,            0.043645,            0.013905,            0.019099,              0.6387,             0.55791,             0.59285,             0.29374,            0.044382,           0.0085571,            0.020126,           0.0076983,           0.0076983,           0.0076983
                  95,            0.043609,            0.013905,            0.019128,             0.63626,             0.55943,             0.59253,             0.29363,            0.044396,           0.0085586,            0.020129,           0.0076735,           0.0076735,           0.0076735
                  96,            0.043357,            0.013963,            0.019005,             0.63968,              0.5576,             0.59328,             0.29375,            0.044405,           0.0085605,            0.020136,           0.0076488,           0.0076488,           0.0076488
                  97,            0.043425,             0.01376,            0.019013,             0.63311,              0.5613,             0.59293,             0.29377,            0.044405,             0.00856,            0.020139,            0.007624,            0.007624,            0.007624
                  98,            0.043395,            0.013867,            0.019016,             0.63225,             0.56418,             0.59354,             0.29391,             0.04441,            0.008561,            0.020145,           0.0075993,           0.0075993,           0.0075993
                  99,            0.043433,            0.013733,             0.01915,             0.63019,             0.56427,             0.59328,             0.29381,            0.044416,           0.0085595,            0.020149,           0.0075745,           0.0075745,           0.0075745
                 100,            0.043352,            0.013857,            0.019016,             0.63382,             0.56386,             0.59378,             0.29411,            0.044424,           0.0085597,            0.020155,           0.0075498,           0.0075498,           0.0075498
                 101,             0.04334,            0.013755,            0.018987,               0.636,             0.56291,             0.59332,             0.29363,            0.044436,           0.0085609,            0.020162,            0.007525,            0.007525,            0.007525
                 102,            0.043258,            0.013787,            0.019043,             0.63984,             0.55977,             0.59343,             0.29339,            0.044446,           0.0085624,            0.020168,           0.0075003,           0.0075003,           0.0075003
                 103,            0.043141,            0.013887,            0.018933,             0.63366,             0.56608,             0.59376,             0.29364,            0.044451,           0.0085634,             0.02017,           0.0074755,           0.0074755,           0.0074755
                 104,            0.043146,            0.013824,             0.01891,             0.63451,             0.56469,             0.59423,             0.29378,            0.044459,           0.0085624,            0.020171,           0.0074507,           0.0074507,           0.0074507
                 105,            0.043074,            0.013737,            0.018969,             0.63493,             0.56639,             0.59385,             0.29396,             0.04446,           0.0085638,             0.02017,            0.007426,            0.007426,            0.007426
                 106,            0.043199,            0.013789,            0.018995,             0.64113,             0.56315,             0.59406,             0.29406,            0.044473,           0.0085655,             0.02017,           0.0074013,           0.0074013,           0.0074013
                 107,            0.042825,            0.013632,            0.018829,             0.64229,              0.5607,             0.59414,             0.29422,            0.044481,           0.0085688,            0.020169,           0.0073765,           0.0073765,           0.0073765
                 108,            0.042857,            0.013755,            0.018903,             0.64524,             0.55805,             0.59365,             0.29436,            0.044497,           0.0085703,            0.020168,           0.0073517,           0.0073517,           0.0073517
                 109,            0.042859,            0.013737,             0.01882,             0.64037,             0.56211,             0.59379,              0.2943,            0.044502,           0.0085686,            0.020174,            0.007327,            0.007327,            0.007327
                 110,            0.042844,            0.013627,            0.018803,             0.63911,             0.56431,             0.59422,             0.29461,            0.044506,           0.0085669,            0.020178,           0.0073023,           0.0073023,           0.0073023
                 111,            0.042472,            0.013559,            0.018802,             0.64281,             0.56028,             0.59446,             0.29463,             0.04451,           0.0085665,            0.020184,           0.0072775,           0.0072775,           0.0072775
                 112,            0.042523,            0.013655,             0.01881,             0.64615,             0.55905,             0.59452,             0.29453,             0.04452,            0.008567,            0.020191,           0.0072527,           0.0072527,           0.0072527
                 113,            0.042576,            0.013614,            0.018776,             0.64566,              0.5598,              0.5939,             0.29458,            0.044531,           0.0085685,            0.020204,            0.007228,            0.007228,            0.007228
                 114,            0.042512,            0.013569,            0.018755,             0.64547,             0.55975,               0.594,              0.2948,            0.044537,           0.0085691,            0.020219,           0.0072033,           0.0072033,           0.0072033
                 115,            0.042474,            0.013552,            0.018864,             0.64454,             0.56226,              0.5941,             0.29462,             0.04455,           0.0085695,            0.020225,           0.0071785,           0.0071785,           0.0071785
                 116,            0.042044,            0.013528,            0.018642,             0.64359,             0.56604,             0.59419,             0.29467,            0.044562,             0.00857,            0.020231,           0.0071538,           0.0071538,           0.0071538
                 117,            0.042164,            0.013437,            0.018657,             0.63797,             0.56755,             0.59405,             0.29465,            0.044571,           0.0085701,            0.020237,            0.007129,            0.007129,            0.007129
                 118,            0.041864,            0.013542,            0.018769,             0.64288,             0.56288,             0.59334,              0.2944,            0.044583,           0.0085711,            0.020244,           0.0071042,           0.0071042,           0.0071042
                 119,            0.042113,            0.013539,            0.018714,             0.64685,             0.56122,             0.59357,             0.29447,            0.044595,           0.0085726,            0.020248,           0.0070795,           0.0070795,           0.0070795
                 120,            0.042052,            0.013383,             0.01861,             0.64542,              0.5636,             0.59288,             0.29455,            0.044606,           0.0085749,            0.020254,           0.0070547,           0.0070547,           0.0070547
                 121,            0.041854,            0.013624,            0.018663,             0.64356,             0.56455,             0.59301,             0.29448,            0.044617,            0.008577,             0.02026,             0.00703,             0.00703,             0.00703
                 122,            0.041628,            0.013478,              0.0186,             0.64597,             0.56302,             0.59306,             0.29459,            0.044631,           0.0085779,            0.020267,           0.0070053,           0.0070053,           0.0070053
                 123,             0.04176,            0.013514,            0.018589,             0.64547,             0.56489,             0.59333,             0.29445,             0.04465,           0.0085799,            0.020275,           0.0069805,           0.0069805,           0.0069805
                 124,            0.041646,            0.013451,             0.01855,             0.64194,             0.56809,             0.59317,             0.29467,            0.044666,           0.0085801,            0.020282,           0.0069558,           0.0069558,           0.0069558
                 125,            0.041689,            0.013381,             0.01857,             0.64699,             0.56424,             0.59354,             0.29477,            0.044681,           0.0085812,            0.020288,            0.006931,            0.006931,            0.006931
                 126,             0.04157,            0.013372,            0.018525,             0.64696,             0.56365,             0.59369,             0.29456,            0.044692,            0.008583,            0.020298,           0.0069063,           0.0069063,           0.0069063
                 127,            0.041606,            0.013276,              0.0186,             0.64834,             0.56418,             0.59436,             0.29458,            0.044705,           0.0085835,            0.020307,           0.0068815,           0.0068815,           0.0068815
