               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.057135,            0.011328,            0.013637,             0.50683,             0.18705,             0.14021,            0.049728,            0.059206,           0.0068787,             0.01868,            0.002872,            0.002872,            0.002872
                  74,            0.056909,            0.011474,            0.012961,             0.50939,             0.21482,             0.13655,             0.04967,            0.059264,           0.0068965,             0.01909,            0.002773,            0.002773,            0.002773
                  75,            0.057351,            0.011299,            0.013509,             0.51338,             0.20467,             0.13586,            0.049647,            0.059386,              0.0069,             0.01941,            0.002674,            0.002674,            0.002674
                  76,            0.056592,            0.011295,            0.013166,             0.52399,             0.22274,             0.14444,            0.051037,            0.059335,            0.006909,             0.01951,            0.002575,            0.002575,            0.002575
                  77,            0.056583,            0.011405,            0.013137,             0.50458,              0.2326,             0.14398,            0.049874,            0.059283,           0.0068848,            0.019595,            0.002476,            0.002476,            0.002476
                  78,            0.056528,            0.011118,            0.012636,             0.50248,             0.20828,             0.13937,            0.047475,            0.059322,           0.0068843,            0.019562,            0.002377,            0.002377,            0.002377
                  79,            0.056006,            0.011161,            0.012152,              0.4912,             0.21789,             0.13436,            0.045694,            0.059347,           0.0068844,            0.019604,            0.002278,            0.002278,            0.002278
                  80,            0.055106,            0.010871,            0.012458,             0.50479,             0.21092,             0.13063,             0.04554,             0.05922,           0.0068954,            0.019412,            0.002179,            0.002179,            0.002179
                  81,            0.055855,            0.010723,            0.011977,             0.49987,             0.21039,             0.12801,            0.044633,            0.059204,           0.0068947,            0.019436,             0.00208,             0.00208,             0.00208
                  82,            0.055133,            0.011255,            0.011576,             0.48839,             0.20337,             0.12493,             0.04372,            0.059232,           0.0069004,            0.019782,            0.001981,            0.001981,            0.001981
                  83,            0.054881,            0.010939,            0.011223,             0.48583,             0.20809,             0.12435,            0.042765,            0.059222,           0.0069004,             0.01997,            0.001882,            0.001882,            0.001882
                  84,            0.054648,            0.011101,             0.01135,             0.48569,             0.21556,             0.12432,            0.043358,            0.059233,           0.0069037,            0.020097,            0.001783,            0.001783,            0.001783
                  85,            0.054576,            0.010993,            0.011068,             0.48074,             0.20703,             0.12582,            0.044827,            0.059243,           0.0069064,            0.020056,            0.001684,            0.001684,            0.001684
                  86,             0.05412,             0.01093,            0.011158,             0.47984,             0.20015,             0.12647,            0.045563,            0.059319,            0.006913,            0.020112,            0.001585,            0.001585,            0.001585
                  87,            0.053722,            0.010956,            0.010812,             0.48406,             0.20173,             0.12678,            0.046042,            0.059378,           0.0069199,            0.020219,            0.001486,            0.001486,            0.001486
